2010-02-23T20:38:37; Saiu; 4; Sessão autenticada; 8
2010-02-23T20:38:37; Saiu; 7; Versão do protocolo; 22
2010-02-23T20:39:01; Saiu; 300; Lista de ativos; 1020528
2010-02-23T20:39:03; Entrou; 300; Requisição de lista de ativos; 4
2010-02-23T20:39:26; Saiu; 100; Ativo completo; 14793
2010-02-23T20:39:26; Entrou; 100; Requisição de ativo; 22
2010-02-23T20:42:20; Saiu; 1; Autenticação ok; 8
2010-02-23T20:42:20; Entrou; 1; Autenticando; 94
2010-02-23T20:42:20; Saiu; 3; Sessão; 8
2010-02-23T20:42:20; Entrou; 2; Requisição de sessão; 4
2010-02-23T20:42:20; Saiu; 6; Aguardando sessão; 8
2010-02-23T20:42:20; Entrou; 1000; Id da Sessão; 104
2010-02-23T20:42:20; Saiu; 4; Sessão autenticada; 8
2010-02-23T20:42:20; Saiu; 7; Versão do protocolo; 22
2010-02-23T20:42:20; Saiu; 302; Lista de ativos em dia; 8
2010-02-23T20:42:20; Entrou; 301; Atualização de lista de ativos; 8
2010-02-23T20:42:47; Saiu; 100; Ativo completo; 512219
2010-02-23T20:42:47; Entrou; 100; Requisição de ativo; 18
2010-02-23T20:42:49; Saiu; 1; Autenticação ok; 8
2010-02-23T20:42:49; Entrou; 1; Autenticando; 94
2010-02-23T20:42:49; Saiu; 3; Sessão; 8
2010-02-23T20:42:49; Entrou; 2; Requisição de sessão; 4
2010-02-23T20:42:49; Saiu; 6; Aguardando sessão; 8
2010-02-23T20:42:49; Entrou; 1000; Id da Sessão; 104
2010-02-23T20:42:49; Saiu; 4; Sessão autenticada; 8
2010-02-23T20:42:49; Saiu; 7; Versão do protocolo; 22
2010-02-23T20:42:49; Saiu; 302; Lista de ativos em dia; 8
2010-02-23T20:42:49; Entrou; 301; Atualização de lista de ativos; 8
2010-02-23T20:43:03; Saiu; 100; Ativo completo; 512219
2010-02-23T20:43:03; Entrou; 100; Requisição de ativo; 18
2010-02-23T20:45:13; Saiu; 1; Autenticação ok; 8
2010-02-23T20:45:13; Entrou; 1; Autenticando; 94
2010-02-23T20:45:13; Saiu; 3; Sessão; 8
2010-02-23T20:45:13; Entrou; 2; Requisição de sessão; 4
2010-02-23T20:45:13; Saiu; 6; Aguardando sessão; 8
